age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
58;1;married;1;no;2143;yes;no;unknown;5;may;261;1;-1;0;unknown;no
44;2;single;2;no;29;yes;no;unknown;5;may;151;1;-1;0;unknown;no
33;3;married;2;no;2;yes;yes;unknown;5;may;76;1;-1;0;unknown;no
47;4;married;3;no;1506;yes;no;unknown;5;may;92;1;-1;0;unknown;no
33;5;single;3;no;1;no;no;unknown;5;may;198;1;-1;0;unknown;no
35;1;married;1;no;231;yes;no;unknown;5;may;139;1;-1;0;unknown;no
28;1;single;1;no;447;yes;yes;unknown;5;may;217;1;-1;0;unknown;no
42;3;divorced;1;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
58;6;married;4;no;121;yes;no;unknown;5;may;50;1;-1;0;unknown;no
43;2;single;2;no;593;yes;no;unknown;5;may;55;1;-1;0;unknown;no
41;7;divorced;2;no;270;yes;no;unknown;5;may;222;1;-1;0;unknown;no
29;7;single;2;no;390;yes;no;unknown;5;may;137;1;-1;0;unknown;no
53;2;married;2;no;6;yes;no;unknown;5;may;517;1;-1;0;unknown;no
58;2;married;3;no;71;yes;no;unknown;5;may;71;1;-1;0;unknown;no
57;8;married;2;no;162;yes;no;unknown;5;may;174;1;-1;0;unknown;no
51;6;married;4;no;229;yes;no;unknown;5;may;353;1;-1;0;unknown;no
45;7;single;3;no;13;yes;no;unknown;5;may;98;1;-1;0;unknown;no
57;4;married;4;no;52;yes;no;unknown;5;may;38;1;-1;0;unknown;no
60;6;married;4;no;60;yes;no;unknown;5;may;219;1;-1;0;unknown;no
33;8;married;2;no;0;yes;no;unknown;5;may;54;1;-1;0;unknown;no
28;4;married;2;no;723;yes;yes;unknown;5;may;262;1;-1;0;unknown;no
56;1;married;1;no;779;yes;no;unknown;5;may;164;1;-1;0;unknown;no
32;4;single;4;no;23;yes;yes;unknown;5;may;160;1;-1;0;unknown;no
25;8;married;2;no;50;yes;no;unknown;5;may;342;1;-1;0;unknown;no
40;6;married;4;no;0;yes;yes;unknown;5;may;181;1;-1;0;unknown;no
44;7;married;2;no;-372;yes;no;unknown;5;may;172;1;-1;0;unknown;no
39;1;single;1;no;255;yes;no;unknown;5;may;296;1;-1;0;unknown;no
52;3;married;2;no;113;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
46;1;single;2;no;-246;yes;no;unknown;5;may;255;2;-1;0;unknown;no
36;2;single;2;no;265;yes;yes;unknown;5;may;348;1;-1;0;unknown;no
57;2;married;2;no;839;no;yes;unknown;5;may;225;1;-1;0;unknown;no
49;1;married;1;no;378;yes;no;unknown;5;may;230;1;-1;0;unknown;no
60;7;married;2;no;39;yes;yes;unknown;5;may;208;1;-1;0;unknown;no
59;4;married;2;no;0;yes;no;unknown;5;may;226;1;-1;0;unknown;no
51;1;married;1;no;10635;yes;no;unknown;5;may;336;1;-1;0;unknown;no
57;2;divorced;2;no;63;yes;no;unknown;5;may;242;1;-1;0;unknown;no
25;4;married;2;no;-7;yes;no;unknown;5;may;365;1;-1;0;unknown;no
53;2;married;2;no;-3;no;no;unknown;5;may;1666;1;-1;0;unknown;no
36;7;divorced;2;no;506;yes;no;unknown;5;may;577;1;-1;0;unknown;no
37;7;single;2;no;0;yes;no;unknown;5;may;137;1;-1;0;unknown;no
44;8;divorced;2;no;2586;yes;no;unknown;5;may;160;1;-1;0;unknown;no
50;1;married;2;no;49;yes;no;unknown;5;may;180;2;-1;0;unknown;no
60;4;married;3;no;104;yes;no;unknown;5;may;22;1;-1;0;unknown;no
54;6;married;2;no;529;yes;no;unknown;5;may;1492;1;-1;0;unknown;no
58;6;married;3;no;96;yes;no;unknown;5;may;616;1;-1;0;unknown;no
36;7;single;4;no;-171;yes;no;unknown;5;may;242;1;-1;0;unknown;no
58;9;married;1;no;-364;yes;no;unknown;5;may;355;1;-1;0;unknown;no
44;2;married;2;no;0;yes;no;unknown;5;may;225;2;-1;0;unknown;no
55;2;divorced;2;no;0;no;no;unknown;5;may;160;1;-1;0;unknown;no
29;1;single;1;no;0;yes;no;unknown;5;may;363;1;-1;0;unknown;no
54;4;married;2;no;1291;yes;no;unknown;5;may;266;1;-1;0;unknown;no
48;1;divorced;1;no;-244;yes;no;unknown;5;may;253;1;-1;0;unknown;no
32;1;married;1;no;0;yes;no;unknown;5;may;179;1;-1;0;unknown;no
42;7;single;2;no;-76;yes;no;unknown;5;may;787;1;-1;0;unknown;no
24;2;single;2;no;-103;yes;yes;unknown;5;may;145;1;-1;0;unknown;no
38;3;single;1;no;243;no;yes;unknown;5;may;174;1;-1;0;unknown;no
38;1;single;1;no;424;yes;no;unknown;5;may;104;1;-1;0;unknown;no
47;4;married;3;no;306;yes;no;unknown;5;may;13;1;-1;0;unknown;no
40;4;single;3;no;24;yes;no;unknown;5;may;185;1;-1;0;unknown;no
46;8;married;4;no;179;yes;no;unknown;5;may;1778;1;-1;0;unknown;no
32;7;married;1;no;0;yes;no;unknown;5;may;138;1;-1;0;unknown;no
53;2;divorced;2;no;989;yes;no;unknown;5;may;812;1;-1;0;unknown;no
57;4;married;4;no;249;yes;no;unknown;5;may;164;1;-1;0;unknown;no
33;8;married;2;no;790;yes;no;unknown;5;may;391;1;-1;0;unknown;no
49;4;married;3;no;154;yes;no;unknown;5;may;357;1;-1;0;unknown;no
51;1;married;1;no;6530;yes;no;unknown;5;may;91;1;-1;0;unknown;no
60;6;married;1;no;100;no;no;unknown;5;may;528;1;-1;0;unknown;no
59;1;divorced;1;no;59;yes;no;unknown;5;may;273;1;-1;0;unknown;no
55;2;married;2;no;1205;yes;no;unknown;5;may;158;2;-1;0;unknown;no
35;4;single;2;no;12223;yes;yes;unknown;5;may;177;1;-1;0;unknown;no
57;4;married;2;no;5935;yes;yes;unknown;5;may;258;1;-1;0;unknown;no
31;8;married;2;no;25;yes;yes;unknown;5;may;172;1;-1;0;unknown;no
54;1;married;2;no;282;yes;yes;unknown;5;may;154;1;-1;0;unknown;no
55;4;married;4;no;23;yes;no;unknown;5;may;291;1;-1;0;unknown;no
43;2;married;2;no;1937;yes;no;unknown;5;may;181;1;-1;0;unknown;no
53;2;married;2;no;384;yes;no;unknown;5;may;176;1;-1;0;unknown;no
44;4;married;2;no;582;no;yes;unknown;5;may;211;1;-1;0;unknown;no
55;8;divorced;2;no;91;no;no;unknown;5;may;349;1;-1;0;unknown;no
49;8;divorced;2;no;0;yes;yes;unknown;5;may;272;1;-1;0;unknown;no
55;8;divorced;2;yes;1;yes;no;unknown;5;may;208;1;-1;0;unknown;no
45;7;single;2;no;206;yes;no;unknown;5;may;193;1;-1;0;unknown;no
47;8;divorced;2;no;164;no;no;unknown;5;may;212;1;-1;0;unknown;no
42;2;single;2;no;690;yes;no;unknown;5;may;20;1;-1;0;unknown;no
59;7;married;2;no;2343;yes;no;unknown;5;may;1042;1;-1;0;unknown;yes
46;9;married;1;no;137;yes;yes;unknown;5;may;246;1;-1;0;unknown;no
51;4;married;4;no;173;yes;no;unknown;5;may;529;2;-1;0;unknown;no
56;7;married;2;no;45;no;no;unknown;5;may;1467;1;-1;0;unknown;yes
41;2;married;2;no;1270;yes;no;unknown;5;may;1389;1;-1;0;unknown;yes
46;1;divorced;2;no;16;yes;yes;unknown;5;may;188;2;-1;0;unknown;no
57;6;married;2;no;486;yes;no;unknown;5;may;180;2;-1;0;unknown;no
42;1;single;2;no;50;no;no;unknown;5;may;48;1;-1;0;unknown;no
30;2;married;2;no;152;yes;yes;unknown;5;may;213;2;-1;0;unknown;no
60;7;married;2;no;290;yes;no;unknown;5;may;583;1;-1;0;unknown;no
60;4;married;3;no;54;yes;no;unknown;5;may;221;1;-1;0;unknown;no
57;3;divorced;2;no;-37;no;no;unknown;5;may;173;1;-1;0;unknown;no
36;1;married;1;no;101;yes;yes;unknown;5;may;426;1;-1;0;unknown;no
55;4;married;2;no;383;no;no;unknown;5;may;287;1;-1;0;unknown;no
60;6;married;1;no;81;yes;no;unknown;5;may;101;1;-1;0;unknown;no
39;2;married;2;no;0;yes;no;unknown;5;may;203;1;-1;0;unknown;no
46;1;married;1;no;229;yes;no;unknown;5;may;197;1;-1;0;unknown;no
44;4;married;2;no;-674;yes;no;unknown;5;may;257;1;-1;0;unknown;no
53;4;married;4;no;90;no;no;unknown;5;may;124;1;-1;0;unknown;no
52;4;married;4;no;128;yes;no;unknown;5;may;229;1;-1;0;unknown;no
59;4;married;4;no;179;yes;no;unknown;5;may;55;3;-1;0;unknown;no
27;2;single;1;no;0;yes;no;unknown;5;may;400;1;-1;0;unknown;no
44;4;married;2;no;54;yes;no;unknown;5;may;197;1;-1;0;unknown;no
47;2;married;1;no;151;yes;no;unknown;5;may;190;1;-1;0;unknown;no
34;7;married;2;no;61;no;yes;unknown;5;may;21;1;-1;0;unknown;no
59;6;single;2;no;30;yes;no;unknown;5;may;514;1;-1;0;unknown;no
45;1;married;1;no;523;yes;no;unknown;5;may;849;2;-1;0;unknown;no
29;8;divorced;2;no;31;yes;no;unknown;5;may;194;1;-1;0;unknown;no
46;2;divorced;2;no;79;no;no;unknown;5;may;144;1;-1;0;unknown;no
56;9;married;4;no;-34;yes;yes;unknown;5;may;212;2;-1;0;unknown;no
36;4;married;4;no;448;yes;no;unknown;5;may;286;1;-1;0;unknown;no
59;6;divorced;4;no;81;yes;no;unknown;5;may;107;1;-1;0;unknown;no
44;4;married;2;no;144;yes;no;unknown;5;may;247;2;-1;0;unknown;no
41;7;married;2;no;351;yes;no;unknown;5;may;518;1;-1;0;unknown;no
33;1;single;1;no;-67;yes;no;unknown;5;may;364;1;-1;0;unknown;no
59;1;divorced;1;no;262;no;no;unknown;5;may;178;1;-1;0;unknown;no
57;2;married;4;no;0;no;no;unknown;5;may;98;1;-1;0;unknown;no
56;2;divorced;3;no;56;yes;no;unknown;5;may;439;1;-1;0;unknown;no
51;4;married;2;no;26;yes;no;unknown;5;may;79;1;-1;0;unknown;no
34;7;married;3;no;3;yes;no;unknown;5;may;120;3;-1;0;unknown;no
43;8;married;2;no;41;yes;yes;unknown;5;may;127;2;-1;0;unknown;no
52;2;married;1;no;7;no;yes;unknown;5;may;175;1;-1;0;unknown;no
33;2;single;2;no;105;yes;no;unknown;5;may;262;2;-1;0;unknown;no
29;7;single;2;no;818;yes;yes;unknown;5;may;61;1;-1;0;unknown;no
34;8;married;2;no;-16;yes;yes;unknown;5;may;78;1;-1;0;unknown;no
31;4;married;2;no;0;yes;no;unknown;5;may;143;1;-1;0;unknown;no
55;8;married;2;no;2476;yes;no;unknown;5;may;579;1;-1;0;unknown;yes
55;1;married;3;no;1185;no;no;unknown;5;may;677;1;-1;0;unknown;no
32;7;single;2;no;217;yes;no;unknown;5;may;345;1;-1;0;unknown;no
38;2;single;2;no;1685;yes;no;unknown;5;may;185;1;-1;0;unknown;no
55;7;single;2;no;802;yes;yes;unknown;5;may;100;2;-1;0;unknown;no
28;10;single;1;no;0;yes;no;unknown;5;may;125;2;-1;0;unknown;no
23;4;married;2;no;94;yes;no;unknown;5;may;193;1;-1;0;unknown;no
32;2;single;2;no;0;yes;no;unknown;5;may;136;1;-1;0;unknown;no
43;8;single;3;no;0;no;no;unknown;5;may;73;1;-1;0;unknown;no
32;4;married;2;no;517;yes;no;unknown;5;may;528;1;-1;0;unknown;no
46;4;married;2;no;265;yes;no;unknown;5;may;541;1;-1;0;unknown;no
53;11;divorced;4;no;947;yes;no;unknown;5;may;163;1;-1;0;unknown;no
34;9;single;2;no;3;yes;no;unknown;5;may;301;1;-1;0;unknown;no
57;10;married;1;no;42;no;no;unknown;5;may;46;1;-1;0;unknown;no
37;4;married;2;no;37;yes;no;unknown;5;may;204;1;-1;0;unknown;no
59;4;married;2;no;57;yes;no;unknown;5;may;98;1;-1;0;unknown;no
33;8;married;2;no;22;yes;no;unknown;5;may;71;1;-1;0;unknown;no
56;4;divorced;4;no;8;yes;no;unknown;5;may;157;2;-1;0;unknown;no